index,id,link,discussion,total number of votes,sum of all voting power,timestamp when it reaches half of the voting power,UTC time,number of voters at half of the voting power,ratio,number of discussions,HHI length weighted,HHI equal weighted,Support,Professionalism,Objectiveness,Unanimity
23,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,https://snapshot.box/#/s:ens.eth/proposal/0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,,215,3149340.969348585,1642020274,2022-01-12 20:44:34,5,0.023255813953488372,,,,,,,
24,0xc4bc562d32e59a528dec301261e8d2b3b0c6880c2b782201c2e9f1ff3979d165,https://snapshot.box/#/s:ens.eth/proposal/0xc4bc562d32e59a528dec301261e8d2b3b0c6880c2b782201c2e9f1ff3979d165,,289,2960742.238328503,1646194401,2022-03-02 04:13:21,7,0.02422145328719723,,,,,,,
25,0xcf77c74696cab1d939936ae8684c0007297bed641f60896ad186354f036d725f,https://snapshot.box/#/s:ens.eth/proposal/0xcf77c74696cab1d939936ae8684c0007297bed641f60896ad186354f036d725f,,745,3715837.9116459438,1638377654,2021-12-01 16:54:14,5,0.006711409395973154,,,,,,,
26,0xd810c4cf2f09737a6f833f1ec51eaa5504cbc0afeeb883a21a7e1c91c8a597e4,https://snapshot.box/#/s:ens.eth/proposal/0xd810c4cf2f09737a6f833f1ec51eaa5504cbc0afeeb883a21a7e1c91c8a597e4,,84373,16107961.241875758,1636464571,2021-11-09 13:29:31,20675,0.24504284546004054,,,,,,,
27,0xdaff050d30c77fe469da7eaa5b5bae0cb892f91a89c119367e47faf370667240,https://snapshot.box/#/s:ens.eth/proposal/0xdaff050d30c77fe469da7eaa5b5bae0cb892f91a89c119367e47faf370667240,,1039,2325021.3097827514,1670911724,2022-12-13 06:08:44,7,0.006737247353224254,,,,,,,
28,0xdf7e59e58ab0cf5ee0a591bd65369db3ee5091ae3b7ca696a0d31c2eac9959f5,https://snapshot.box/#/s:ens.eth/proposal/0xdf7e59e58ab0cf5ee0a591bd65369db3ee5091ae3b7ca696a0d31c2eac9959f5,,343,3438033.082180563,1646191247,2022-03-02 03:20:47,7,0.02040816326530612,,,,,,,
29,0xe040bdae812af4bd5b3b6e3f46ed1ff4701986c338b827ac8f05807c2b9b9d73,https://snapshot.box/#/s:ens.eth/proposal/0xe040bdae812af4bd5b3b6e3f46ed1ff4701986c338b827ac8f05807c2b9b9d73,,596,3251460.5645871293,1647537110,2022-03-17 17:11:50,7,0.01174496644295302,,,,,,,
30,0xed7bbde7c1136cbb5b9090a0abd48438c97a020b9e8a1e8f6257a46d068aa2e0,https://snapshot.box/#/s:ens.eth/proposal/0xed7bbde7c1136cbb5b9090a0abd48438c97a020b9e8a1e8f6257a46d068aa2e0,,658,1916001.2826149373,1686677766,2023-06-13 17:36:06,7,0.010638297872340425,,,,,,,
31,0xf854140e16ab96eaed7bbd783f31b441ff5122efc8c002632396df9b7d20342d,https://snapshot.box/#/s:ens.eth/proposal/0xf854140e16ab96eaed7bbd783f31b441ff5122efc8c002632396df9b7d20342d,,412,3666651.3113330477,1641781134,2022-01-10 02:18:54,6,0.014563106796116505,,,,,,,
32,0xfbf3672c52618816a0a7a759e25476b69b86357d500f19ba714030aebacbb225,https://snapshot.box/#/s:ens.eth/proposal/0xfbf3672c52618816a0a7a759e25476b69b86357d500f19ba714030aebacbb225,,224,3476979.1092384313,1641948936,2022-01-12 00:55:36,6,0.026785714285714284,,,,,,,
33,0xfe73d1b06675d6bc1cc074f440c347274d13c55b513ea02ec950efe639adbbb0,https://snapshot.box/#/s:ens.eth/proposal/0xfe73d1b06675d6bc1cc074f440c347274d13c55b513ea02ec950efe639adbbb0,,972,4856109.997858679,1637773792,2021-11-24 17:09:52,7,0.00720164609053498,,,,,,,
34,0xff480a86ea2a08bb50999f22d96de77c3da1eb03c5b082c6265f365c8f9c9274,https://snapshot.box/#/s:ens.eth/proposal/0xff480a86ea2a08bb50999f22d96de77c3da1eb03c5b082c6265f365c8f9c9274,,229,3506094.589061181,1641948673,2022-01-12 00:51:13,6,0.026200873362445413,,,,,,,
35,QmW5qrWwivELsMdLViGMTmH27QQYjyqGM2PMqVwpYxL2UN,https://snapshot.box/#/s:ens.eth/proposal/QmW5qrWwivELsMdLViGMTmH27QQYjyqGM2PMqVwpYxL2UN,,2173,2159.0,1621848090,2021-05-24 09:21:30,1080,0.4970087436723424,,,,,,,
36,QmbLws8nx6smvU3rxGPiYkQ5dbvrmGQFnjWHYia1AHLoAw,https://snapshot.box/#/s:ens.eth/proposal/QmbLws8nx6smvU3rxGPiYkQ5dbvrmGQFnjWHYia1AHLoAw,,3290,3290.0,1634609409,2021-10-19 02:10:09,1645,0.5,,,,,,,
37,QmfLwPbo5UwnyvkXo7emsSMDMFCr8UtJ76n87v9Rf7gEuH,https://snapshot.box/#/s:ens.eth/proposal/QmfLwPbo5UwnyvkXo7emsSMDMFCr8UtJ76n87v9Rf7gEuH,,236,236.0,1634622041,2021-10-19 05:40:41,118,0.5,,,,,,,
38,0x12a2abca291496c7e990d099240b4c995099dc0fb85767e04f22b9496e953799,https://snapshot.box/#/s:ens.eth/proposal/0x12a2abca291496c7e990d099240b4c995099dc0fb85767e04f22b9496e953799,https://discuss.ens.domains/t/4-4-1-social-funding-request-ens-ecosystem-working-group/17995,793,1562020.9953696986,1698073247,2023-10-23 15:00:47,6,0.007566204287515763,2,0.92610667791614,0.5,,,,
39,0x0a7bec3cd182dadbd043e77cf7a610a6e33c5228fabe407cb89c632b578b83a9,https://snapshot.box/#/s:ens.eth/proposal/0x0a7bec3cd182dadbd043e77cf7a610a6e33c5228fabe407cb89c632b578b83a9,https://discuss.ens.domains/t/4-4-3-social-funding-request-ens-public-goods-working-group/17996,842,1562149.3701220225,1698073616,2023-10-23 15:06:56,6,0.007125890736342043,2,0.9359629583555802,0.5,0.622454951705516,0.9999678603234905,0.9820023966992978,0.0035935884768531256
